# label	strategy	pattern	flags	captureKind	captureValue	cardinality	source	resultKind	resultValue
JavaScript postfix division	nameDirective						i++ / 2; // @name realPostfixDivision	name	realPostfixDivision
JavaScript postfix decrement	nameDirective						value--; const label = \"@name fake\";\n// @name realPostfixDecrement	name	realPostfixDecrement
JavaScript prefix decrement	nameDirective						--value; const label = \"@name fake\";\n// @name realPrefixDecrement	name	realPrefixDecrement
JavaScript private field	nameDirective						class C { #label = \"@name fake\"; }\n// @name realPrivateField	name	realPrivateField
JavaScript template interpolation comment	nameDirective						const value = `${1 /* @name embedded */}`;	name	embedded
JavaScript template raw text ignored	nameDirective						const value = `/* @name fake */ ${{value: 1 /* @name embeddedObject */}.value}`;	name	embeddedObject
JavaScript nested template interpolation	nameDirective						const value = `${`nested ${1 /* @name nestedTemplate */}`}`;	name	nestedTemplate
PostgreSQL hash operator	nameDirectivePostgreSQL						SELECT doc #>> '{path}', '@name fake'; -- @name realHashOperator	name	realHashOperator
missing name directive	nameDirective						select 1	error	no valid @name
multiple name directives	nameDirectivePython						# @name One\n# @name Two\nselect 1	error	multiple @name
query regex with numbered capture	regex	^[ \t]*(?:query|mutation|subscription)[ \t\r\n]+([_A-Za-z][_0-9A-Za-z]*)	m	numbered	1	exactlyOne	query RegexUser { viewer { id } }	name	RegexUser
zero-width Unicode regex	regex	^(?=😀(?<name>Foo))	u	named	name	exactlyOne	😀Foo	name	Foo
named capture	regex	^[ \t]*query[ \t\r\n]+(?<operation>[_A-Za-z][_0-9A-Za-z]*)	m	named	operation	first	query NamedCapture { viewer { id } }	name	NamedCapture
missing numbered capture	regex	^query[ \t]+[_A-Za-z][_0-9A-Za-z]*	m	numbered	1	first	query MissingCapture { viewer { id } }	error	capture 1 was missing
empty capture	regex	^query[ \t]*([_A-Za-z]*)	m	numbered	1	first	query 	error	was empty
invalid generated name	regex	^query[ \t]+([^ \t\r\n]+)	m	numbered	1	first	query bad-name { viewer { id } }	error	is invalid
invalid regex	regex	(	m	numbered	1	first	query Broken { viewer { id } }	error	invalid ECMAScript regex
invalid flags	regex	(query)	z	numbered	1	first	query Broken { viewer { id } }	error	invalid ECMAScript regex
pathological regex timeout	regex	(a+)+$		numbered	0	first	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa!	error	timed out after 100ms
shell heredoc body	nameDirectiveShell						cat <<'EOF'\n# @name example\nEOF\n# @name realHeredoc	name	realHeredoc
shell multiple heredoc bodies	nameDirectiveShell						cat <<A <<-B\n# @name firstFake\nA\n\t# @name secondFake\n\tB\n# @name realMultipleHeredoc	name	realMultipleHeredoc
shell backtick substitution comment	nameDirectiveShell						value=`echo start\n# @name embeddedBacktick\n`	name	embeddedBacktick
shell escaped hash	nameDirectiveShell						echo \\# @name fake\n# @name realEscapedHash	name	realEscapedHash
shell hash inside word	nameDirectiveShell						echo value#notacomment @name fake\n# @name realHashWord	name	realHashWord
shell quoted backtick substitution	nameDirectiveShell						value=\"`echo start\n# @name quotedBacktick\n`\"	name	quotedBacktick
shell quoted dollar substitution	nameDirectiveShell						value=\"$(echo start\n# @name quotedDollar\n)\"	name	quotedDollar
shell nested quote in dollar substitution	nameDirectiveShell						value=\"$(printf \"%s\" value\n# @name nestedQuotedDollar\n)\"	name	nestedQuotedDollar
shell literal double quote	nameDirectiveShell						value=\"# @name fake\"\n# @name realDoubleQuote	name	realDoubleQuote
shell escaped heredoc delimiter	nameDirectiveShell						cat <<\\EOF\n# @name fakeEscapedDelimiter\nEOF\n# @name realEscapedDelimiter	name	realEscapedDelimiter
shell mixed quoted heredoc delimiter	nameDirectiveShell						cat <<E\"OF\"\n# @name fakeMixedDelimiter\nEOF\n# @name realMixedDelimiter	name	realMixedDelimiter
shell arithmetic shift	nameDirectiveShell						value=$((1 << 2))\n# @name realArithmeticShift	name	realArithmeticShift
shell quoted heredoc preserved backslash	nameDirectiveShell						cat <<\"E\\OF\"\n# @name firstFakePreserved\nEOF\n# @name secondFakePreserved\nE\\OF\n# @name realPreservedBackslash	name	realPreservedBackslash
shell parameter dollar substitution	nameDirectiveShell						value=${fallback:-$(echo start\n# @name parameterDollar\n)}	name	parameterDollar
shell parameter backtick substitution	nameDirectiveShell						value=${fallback:-`echo start\n# @name parameterBacktick\n`}	name	parameterBacktick
shell parameter quoted substitution	nameDirectiveShell						value=${fallback:-\"$(echo start\n# @name parameterQuoted\n)\"}	name	parameterQuoted
shell expanding heredoc substitution	nameDirectiveShell						cat <<EOF\n$(echo start\n# @name expandingHeredoc\n)\nEOF	name	expandingHeredoc
shell quoted heredoc ignores substitution	nameDirectiveShell						cat <<\"EOF\"\n$(echo start\n# @name fakeQuotedHeredoc\n)\nEOF\n# @name realQuotedHeredoc	name	realQuotedHeredoc
shell arithmetic command substitution	nameDirectiveShell						value=$(( $(echo 1\n# @name arithmeticCommand\n) + 1 ))	name	arithmeticCommand
shell inline backtick comment	nameDirectiveShell						value=`# @name inlineBacktick\n`	name	inlineBacktick
